product_name, Category
"Samsung Galaxy S23", Smartphone
"Apple iPhone 15", Smartphone
"Xiaomi Mi 11", Smartphone
"Google Pixel 8", Smartphone
"OnePlus 11", Smartphone
"Dell XPS 15", Laptop
"Apple MacBook Air M2", Laptop
"HP Spectre x360", Laptop
"ASUS ROG Zephyrus G14", Laptop
"Lenovo ThinkPad X1 Carbon", Laptop
"Dyson V15 Detect Vacuum Cleaner", Home Appliance
"Philips Sonicare HX9903/21 Electric Toothbrush", Home Appliance
"LG InstaView Refrigerator", Home Appliance
"Breville Barista Express Espresso Machine", Home Appliance
"Shark Rocket Corded Stick Vacuum", Home Appliance
"Peloton Bike+", Fitness Equipment
"Bowflex SelectTech Dumbbells", Fitness Equipment
"Fitbit Charge 5", Fitness Equipment
"NordicTrack Commercial 1750 Treadmill", Fitness Equipment
"Rogue Echo Bike", Fitness Equipment
"Sony PlayStation 5", Gaming Console
"Xbox Series X", Gaming Console
"Nintendo Switch OLED", Gaming Console
"Valve Steam Deck", Gaming Console
"PlayStation VR2", Gaming Console
"Dyson Airwrap Complete Styler", Beauty and Cosmetics
"GoPro HERO11 Black", Action Camera
"Canon EOS R5", Camera
"Apple AirPods Pro 2", Wireless Earbuds
"Amazon Echo Show 10", Smart Speaker
"Google Nest Hub", Smart Display
"Razer Blade 15", Gaming Laptop
"Microsoft Surface Pro 9", Tablet
"Apple iPad Pro", Tablet
"Samsung Galaxy Tab S8", Tablet
"HP Omen 30L", Gaming Desktop
"Alienware Aurora Ryzen Edition", Gaming Desktop
"Logitech G Pro X Superlight", Gaming Mouse
"SteelSeries Arctis 7", Gaming Headset
"Anker PowerCore 26800", Portable Charger
"Samsung 970 EVO Plus 1TB", SSD
"Seagate Backup Plus Hub 8TB", External Hard Drive
"Western Digital My Passport 4TB", External Hard Drive
"Lenovo ThinkPad X1 Yoga", Convertible Laptop
"Intel Core i9-13900K", CPU
"AMD Ryzen 9 7950X", CPU
"NVIDIA GeForce RTX 4090", Graphics Card
"Samsung Odyssey G9", Monitor
"LG 27GN950-B", Monitor
"Apple 27-inch 5K Retina Display", Monitor
"BenQ ZOWIE XL2546", Monitor
"Logitech G502 HERO", Gaming Mouse
"TP-Link Archer AX11000", Router
"Netgear Nighthawk AX12", Router
"Apple Magic Keyboard", Keyboard
"Logitech MX Master 3", Mouse
"HyperX Alloy FPS Pro", Keyboard
"Google Pixel Watch", Smartwatch
"Garmin Fenix 7X", Smartwatch
"Apple Watch Ultra", Smartwatch
"Fitbit Sense 2", Smartwatch
"Microsoft Xbox Elite Wireless Controller", Controller
"Razer Nari Ultimate", Gaming Headset
"Samsung QLED 8K TV", TV
"LG OLED B1", TV
"Vizio 70-Inch 4K UHD Smart TV", TV
"Samsung Galaxy Z Fold 4", Smartphone
"Apple iPhone 13 Mini", Smartphone
"ASUS ZenBook Flip 14", Laptop
"Google Nest WiFi", WiFi System
"Netgear Orbi RBK852", WiFi System
"Sonos Beam", Soundbar
"Apple HomePod", Smart Speaker
"Amazon Fire TV Stick", Streaming Device
"Google Chromecast", Streaming Device
"Xiaomi Mi Box S", Streaming Device
"Samsung T7 Portable SSD", External Storage
"SanDisk Extreme Portable SSD", External Storage
"Western Digital Elements 1TB", External Storage
"Apple iMac 24-inch", Desktop Computer
"Microsoft Surface Laptop Go", Laptop
"HP Pavilion 15", Laptop
"ASUS VivoBook 15", Laptop
"Lenovo Legion 5", Gaming Laptop
"Alienware AW3821DW", Gaming Monitor
"BenQ ZOWIE XL2411P", Gaming Monitor
"MSI Optix MAG272CQR", Gaming Monitor
"Logitech G Pro X Wireless", Gaming Headset
"TP-Link Deco X60", Mesh Wi-Fi System
"Netgear Nighthawk AX8", Wi-Fi Router
"Linksys Velop AX4200", Mesh Wi-Fi System
"Google Nest Cam", Security Camera
"Ring Floodlight Cam", Security Camera
"Arlo Pro 4", Security Camera
"Philips Hue Starter Kit", Smart Bulbs
"Nanoleaf Light Panels", Smart Bulbs
"Wyze Cam V3", Security Camera
"Roku Ultra", Streaming Media Player
"Apple TV 4K", Streaming Media Player
"PlayStation 5 DualSense Wireless Controller", Gaming Controller
"Xbox Series X Wireless Controller", Gaming Controller
"Logitech G920 Racing Wheel", Racing Wheel
"Thrustmaster T300 RS GT", Racing Wheel
"SteelSeries Rival 600", Gaming Mouse
"Logitech G703 LIGHTSPEED", Gaming Mouse
"Samsung 870 QVO 1TB", SSD
"Kingston A2000 1TB", SSD
"Seagate IronWolf NAS 4TB", Hard Drive
"Buffalo LinkStation 220", NAS Device
"WD Black D10 Game Drive 8TB", External Storage
